transaction_id,user_id,timestamp,amount,merchant,location
TXN001,USER001,2024-07-26 09:15:00,45.99,Coffee Shop Central,New York
TXN002,USER002,2024-07-26 09:20:00,12000.00,Luxury Cars Inc,New York
TXN003,USER001,2024-07-26 09:16:00,47.50,Gas Station Quick,New York
TXN004,USER001,2024-07-26 09:17:00,35.75,Pharmacy Plus,New York
TXN005,USER003,2024-07-26 10:30:00,150.00,Restaurant Deluxe,Los Angeles
TXN006,USER004,2024-07-26 11:00:00,89.99,Electronics Store,Chicago
TXN007,USER002,2024-07-26 11:30:00,25000.00,Investment Broker,offshore
TXN008,USER005,2024-07-26 12:00:00,67.80,Grocery Mart,Miami
TXN009,USER001,2024-07-26 14:45:00,15000.00,Real Estate Agency,New York
TXN010,USER006,2024-07-26 15:00:00,23.45,Coffee Shop Central,Seattle
TXN011,USER007,2024-07-26 15:30:00,340.50,Department Store,Dallas
TXN012,USER003,2024-07-26 16:00:00,78.90,Restaurant Deluxe,Los Angeles
TXN013,USER008,2024-07-26 16:30:00,156.70,Bookstore Academic,Boston
TXN014,USER004,2024-07-26 17:00:00,45.20,Gas Station Quick,Chicago
TXN015,USER009,2024-07-26 17:30:00,234.80,Clothing Boutique,San Francisco
TXN016,USER010,2024-07-26 18:00:00,10000.00,Casino Royal,Las Vegas
TXN017,USER002,2024-07-26 18:30:00,5000.00,Wire Transfer,unknown
TXN018,USER011,2024-07-26 19:00:00,67.45,Restaurant Chain,Atlanta
TXN019,USER001,2024-07-26 19:15:00,890.50,Electronics Store,Somalia
TXN020,USER012,2024-07-26 20:00:00,123.60,Movie Theater,Denver
TXN021,USER013,2024-07-26 20:30:00,456.70,Hotel Booking,Phoenix
TXN022,USER003,2024-07-26 21:00:00,34.80,Fast Food Chain,Los Angeles
TXN023,USER014,2024-07-26 21:30:00,789.90,Jewelry Store,Houston
TXN024,USER015,2024-07-26 22:00:00,56.70,Pharmacy Plus,Portland
TXN025,USER016,2024-07-26 22:30:00,345.60,Online Marketplace,Remote
TXN026,USER017,2024-07-26 23:00:00,12.30,Convenience Store,Nashville
TXN027,USER002,2024-07-26 23:05:00,8500.00,Cryptocurrency Exchange,n/a
TXN028,USER002,2024-07-26 23:07:00,7500.00,Money Transfer,anonymous
TXN029,USER002,2024-07-26 23:09:00,9200.00,Investment Platform,hidden
TXN030,USER018,2024-07-26 23:30:00,67.80,Grocery Mart,Salt Lake City
TXN031,USER019,2024-07-27 00:15:00,234.50,Gas Station 24/7,Albuquerque
TXN032,USER020,2024-07-27 01:00:00,15.75,Coffee Shop Night,Portland
TXN033,USER021,2024-07-27 02:30:00,500.00,ATM Withdrawal,Las Vegas
TXN034,USER022,2024-07-27 03:45:00,1000.00,Casino Night,Las Vegas
TXN035,USER023,2024-07-27 06:00:00,45.20,Airport Shop,Los Angeles
TXN036,USER024,2024-07-27 07:30:00,89.70,Hotel Restaurant,New York
TXN037,USER025,2024-07-27 08:00:00,156.80,Business Lunch,Chicago
TXN038,USER001,2024-07-27 08:30:00,1200.00,Medical Center,Afghanistan
TXN039,USER026,2024-07-27 09:00:00,67.50,Pharmacy Plus,Miami
TXN040,USER027,2024-07-27 09:30:00,234.70,Electronics Repair,Denver
TXN041,USER028,2024-07-27 10:00:00,50000.00,Real Estate Purchase,New York
TXN042,USER029,2024-07-27 10:30:00,34.60,Coffee Shop Central,Seattle
TXN043,USER030,2024-07-27 11:00:00,789.40,Department Store,Dallas
TXN044,USER031,2024-07-27 11:30:00,123.80,Restaurant Fast,Phoenix
TXN045,USER032,2024-07-27 12:00:00,456.90,Clothing Store,San Francisco
TXN046,USER033,2024-07-27 12:30:00,67.30,Grocery Store,Atlanta
TXN047,USER034,2024-07-27 13:00:00,234.50,Movie Complex,Houston
TXN048,USER035,2024-07-27 13:30:00,89.70,Bookstore Chain,Boston
TXN049,USER036,2024-07-27 14:00:00,567.80,Jewelry Premium,Portland
TXN050,USER037,2024-07-27 14:30:00,123.40,Gas Station Express,Nashville
